边,biān
滨,bīn
橙,chéng
春,chūn
葱,cōng
底,dǐ
冬,dōng
后,hòu
季,jì
姜,jiāng
界,jiè
卡,kǎ
刻,kè
梨,lí
里,lǐ
秒,miǎo
末,mò
内,nèi
畔,pàn
前,qián
仁,rén
日,rì
桃,táo
外,wài
下,xià
夏,xià
杏,xìng
血,xuè
右,yòu
釉,yòu
月,yuè
周,zhōu
左,zuǒ
东至县,dōng,zhì,xiàn
东周村,dōng,zhōu,cūn
东周廷,dōng,zhōu,tíng
东周庄,dōng,zhōu,zhuāng
东洲区,dōng,zhōu,qū
东主楼,dōng,zhǔ,lóu
东庄村,dōng,zhuāng,cūn
东撞村,dōng,zhuàng,cūn
冬白梅,dōng,bái,méi
冬不拉,dōng,bù,lā
冬瓜子,dōng,guā,zǐ
冬寒菜,dōng,hán,cài
冬候鸟,dōng,hòu,niǎo
冬眠腺,dōng,mián,xiàn
冬青科,dōng,qīng,kē
冬青属,dōng,qīng,shǔ
冬青树,dōng,qīng,shù
冬泉谷,dōng,quán,gǔ
冬珊瑚,dōng,shān,hú
冬小麦,dōng,xiǎo,mài
冬夜蛾,dōng,yè,é
冬枣树,dōng,zǎo,shù
苳叶科,dōng,yè,kē
苳叶属,dōng,yè,shǔ
董成柯,dǒng,chéng,kē
董二庄,dǒng,èr,zhuāng
董洪智,dǒng,hóng,zhì
董鸿程,dǒng,hóng,chéng
董尼酮,dǒng,ní,tóng
董三尧,dǒng,sān,yáo
董事会,dǒng,shì,huì
董寿熹,dǒng,shòu,xī
董书琪,dǒng,shū,qí
董以信,dǒng,yǐ,xìn
董庄村,dǒng,zhuāng,cūn
动不动,dòng,bù,dòng
动电位,dòng,diàn,wèi
动多态,dòng,duō,tài
动肝火,dòng,gān,huǒ
动干戈,dòng,gān,gē
动核目,dòng,hé,mù
动滑轮,dòng,huá,lún
动画片,dòng,huà,piān
动画业,dòng,huà,yè
动畸变,dòng,jī,biàn
动景器,dòng,jǐng,qì
动力锄,dòng,lì,chú
动力堆,dòng,lì,duī
动力机,dòng,lì,jī
动力剪,dòng,lì,jiǎn
动力精,dòng,lì,jīng
动力锯,dòng,lì,jù
动力煤,dòng,lì,méi
动力区,dòng,lì,qū
动力绳,dòng,lì,shéng
动力师,dòng,lì,shī
动力箱,dòng,lì,xiāng
动力学,dòng,lì,xué
动力站,dòng,lì,zhàn
动脉弓,dòng,mài,gōng
动脉环,dòng,mài,huán
动脑筋,dòng,nǎo,jīn
动手术,dòng,shǒu,shù
动态层,dòng,tài,céng
动态美,dòng,tài,měi
动物电,dòng,wù,diàn
动物极,dòng,wù,jí
动物界,dòng,wù,jiè
动物学,dòng,wù,xué
动物油,dòng,wù,yóu
动物园,dòng,wù,yuán
动物脂,dòng,wù,zhī
动物志,dòng,wù,zhì
动员令,dòng,yuán,lìng
动载荷,dòng,zài,hè
动植物,dòng,zhí,wù
冻存管,dòng,cún,guǎn
冻豆腐,dòng,dòu,fǔ
冻绿叶,dòng,lǜ,yè
冻青树,dòng,qīng,shù
冻青叶,dòng,qīng,yè
冻清树,dòng,qīng,shù
冻死率,dòng,sǐ,lǜ
冻土层,dòng,tǔ,céng
冻土带,dòng,tǔ,dài
冻虾仁,dòng,xiā,rén
栋青树,dòng,qīng,shù
洞枫村,dòng,fēng,cūn
洞山村,dòng,shān,cūn
洞庭湖,dòng,tíng,hú
洞庭路,dòng,tíng,lù
洞溪村,dòng,xī,cūn
洞谢村,dòng,xiè,cūn
都安县,dū,an,xiàn
都柏林,dū,bó,lín
都察院,dū,chá,yuàn
都昌县,dū,chāng,xiàn
都芳漆,dōu,fāng,qī
都江堰,dū,jiāng,yàn
都兰县,dū,lán,xiàn
都泗门,dōu,sì,mén
都溪村,dōu,xī,cūn
都匀市,dū,yún,shì
兜兰属,dōu,lán,shǔ
抖掸清,dǒu,dǎn,qīng
抖威风,dǒu,wēi,fēng
抖威武,dǒu,wēi,wǔ
斗六市,dǒu,lìu,shì
斗门区,dǒu,mén,qū
斗南镇,dǒu,nán,zhèn
斗牛场,dòu,níu,chǎng
斗争性,dòu,zhēng,xìng
豆瓣菜,dòu,bàn,cài
豆瓣酱,dòu,bàn,jiàng
豆瓣绿,dòu,bàn,lǜ
豆瓣楠,dòu,bàn,nán
豆瓣七,dòu,bàn,qī
豆瓣香,dòu,bàn,xiāng
豆草除,dòu,cǎo,chú
豆豉酱,dòu,chǐ,jiàng
豆胆灯,dòu,dǎn,dēng
豆豆鞋,dòu,dòu,xié
豆腐干,dòu,fǔ,gàn
豆腐羹,dòu,fu,gēng
豆腐花,dòu,fǔ,huā
豆腐脑,dòu,fǔ,nǎo
豆腐皮,dòu,fǔ,pí
豆腐乳,dòu,fǔ,rǔ
豆腐渣,dòu,fǔ,zhā
豆根直,dòu,gēn,zhí
豆汉卿,dòu,hàn,qīng
豆科草,dòu,kē,cǎo
豆蔻粉,dòu,kòu,fěn
豆蔻属,dòu,kòu,shǔ
豆砾石,dòu,lì,shí
豆焖饭,dòu,mèn,fàn
豆薯属,dòu,shǔ,shǔ
豆象科,dòu,xiàng,kē
豆牙菜,dòu,yá,cài
豆芽菜,dòu,yá,cài
豆芽儿,dòu,yá,ér
豆芽井,dòu,yá,jǐng
豆芽汤,dòu,yá,tāng
豆叶七,dòu,yè,qī
豆夜蛾,dòu,yè,é
豆渣树,dòu,zhā,shù
豆汁店,dòu,zhī,diàn
豆庄村,dòu,zhuāng,cūn
豆状核,dòu,zhuàng,hé
逗闷子,dòu,mèn,zǐ
逗趣儿,dòu,qù,ér
逗笑儿,dòu,xiào,ér
痘痘清,dòu,dòu,qīng
痘立克,dòu,lì,kè
窦店村,dòu,diàn,cūn
窦维志,dòu,wéi,zhì
窦小鹏,dòu,xiǎo,péng
窦营村,dòu,yíng,cūn
窦状隙,dòu,zhuàng,xì
督办单,dū,bàn,dān
毒鞭蝎,dú,biān,xiē
毒蟾蜍,dú,chán,chú
毒豆属,dú,dòu,shǔ
毒尖蝎,dú,jiān,xiē
毒劣魔,dú,liè,mó
毒拟鲉,dú,nǐ,yóu
毒漆藤,dú,qī,téng
毒鼠硅,dú,shǔ,guī
毒瓦斯,dú,wǎ,sī
毒尾蝎,dú,wěi,xiē
毒蕈碱,dú,xùn,jiǎn
毒蕈肽,dú,xùn,tài
毒液箭,dú,yè,jiàn
毒疣鲉,dú,yóu,yóu
毒莠定,dú,yǒu,dìng
独柏村,dú,bǎi,cūn
独柏树,dú,bǎi,shù
独裁者,dú,cái,zhě
独二代,dú,èr,dài
独根草,dú,gēn,cǎo
独角戏,dú,jiǎo,xì
独居石,dú,jū,shí
独居型,dú,jū,xíng
独乐河,dú,lè,hé
独立国,dú,lì,guó
独立集,dú,lì,jí
独立营,dú,lì,yíng
独立装,dú,lì,zhuāng
独龙族,dú,lóng,zú
独轮车,dú,lún,chē
独门儿,dú,mén,ér
独木环,dú,mù,huán
独木桥,dú,mù,qiáo
独木舟,dú,mù,zhōu
独幕剧,dú,mù,jù
独山村,dú,shān,cūn
独山湖,dú,shān,hú
独山路,dú,shān,lù
独山县,dú,shān,xiàn
独山子,dú,shān,zǐ
独生女,dú,shēng,nǚ
独生子,dú,shēng,zǐ
独石村,dú,shí,cūn
独石柱,dú,shí,zhù
独树村,dú,shù,cūn
独蒜兰,dú,suàn,lán
独它尔,dú,tā,ěr
独眼龙,dú,yǎn,lóng
独院儿,dú,yuàn,ér
独奏曲,dú,zòu,qǔ
读后感,dú,hòu,gǎn
读码器,dú,mǎ,qì
读书班,dú,shū,bān
读书村,dú,shū,cūn
读书灯,dú,shū,dēng
读书架,dú,shū,jià
读书人,dú,shū,rén
读书山,dú,shū,shān
读书桌,dú,shū,zhuō
读图器,dú,tú,qì
渎职犯,dú,zhí,fàn
渎职罪,dú,zhí,zuì
笃庆堂,dǔ,qìng,táng
堵漏剂,dǔ,lòu,jì
堵塞器,dǔ,sè,qì
堵渣机,dǔ,zhā,jī
杜秉才,dù,bǐng,cái
杜城村,dù,chéng,cūn
杜店村,dù,diàn,cūn
杜定德,dù,dìng,dé
杜尔根,dù,ěr,gēn
杜根藤,dù,gēn,téng
杜湖村,dù,hú,cūn
杜集区,dù,jí,qū
杜加征,dù,jiā,zhēng
杜茎山,dù,jīng,shān
杜鹃花,dù,juān,huā
杜兰庄,dù,lán,zhuāng
杜蕾斯,dù,lěi,sī
杜洛德,dù,luò,dé
杜洛斯,dù,luò,sī
杜美丝,dù,měi,sī
杜庆堂,dù,qìng,táng
杜氏鲚,dù,shì,jì
杜氏鰤,dù,shì,shī
杜氏鮻,dù,shì,suō
杜氏鰧,dù,shì,téng
杜氏鮠,dù,shì,wéi
杜松子,dù,sōng,zǐ
杜鑫锋,dù,xīn,fēng
杜英科,dù,yīng,kē
杜英路,dù,yīng,lù
杜英属,dù,yīng,shǔ
杜约翰,dù,yuē,hàn
杜志伟,dù,zhì,wěi
杜仲甙,dù,zhòng,dài
杜仲科,dù,zhòng,kē
杜仲目,dù,zhòng,mù
杜仲属,dù,zhòng,shǔ
杜仲炭,dù,zhòng,tàn
杜仲藤,dù,zhòng,téng
杜仲叶,dù,zhòng,yè
杜庄村,dù,zhuāng,cūn
度假村,dù,jià,cūn
度量衡,dù,liàng,héng
渡江路,dù,jiāng,lù
渡洛捷,dù,luò,jié
渡善村,dù,shàn,cūn
镀铂铜,dù,bó,tóng
镀层板,dù,céng,bǎn
镀铬件,dù,gè,jiàn
镀铬铝,dù,gè,lǚ
镀黄铜,dù,huáng,tóng
镀膜剂,dù,mó,jì
镀膜蜡,dù,mó,là
镀铅槽,dù,qiān,cáo
镀青铜,dù,qīng,tóng
镀铜槽,dù,tóng,cáo
镀锡板,dù,xī,bǎn
镀锡槽,dù,xī,cáo
镀锡层,dù,xī,céng
镀锡工,dù,xī,gōng
镀锡锅,dù,xī,guō
镀锡机,dù,xī,jī
镀锡铜,dù,xī,tóng
镀锌槽,dù,xīn,cáo
镀锌层,dù,xīn,céng
镀锌工,dù,xīn,gōng
镀锌管,dù,xīn,guǎn
镀锌锅,dù,xīn,guō
镀锌机,dù,xīn,jī
镀锌件,dù,xīn,jiàn
镀锌炉,dù,xīn,lú
镀锌丝,dù,xīn,sī
镀锌铁,dù,xīn,tiě
镀锌桶,dù,xīn,tǒng
镀硬铬,dù,yìng,gè
端方向,duān,fāng,xiàng
端感区,duān,gǎn,qū
端彗星,duān,huì,xīng
端基环,duān,jī,huán
端加工,duān,jiā,gōng
端架子,duān,jià,zi
端接器,duān,jiē,qì
端粒带,duān,lì,dài
端粒酶,duān,lì,méi
端履街,duān,lǚ,jiē
端履门,duān,lǚ,mén
端脑腔,duān,nǎo,qiāng
端午节,duān,wǔ,jié
端扬巷,duān,yáng,xiàng
端支座,duān,zhī,zuò
端州区,duān,zhōu,qū
短瓣蓍,duǎn,bàn,shī
短柄草,duǎn,bǐng,cǎo
短柄斧,duǎn,bǐng,fǔ
短柄袍,duǎn,bǐng,páo
短不了,duǎn,bù,liǎo
短程力,duǎn,chéng,lì
短刀豆,duǎn,dāo,dòu
短耳鸮,duǎn,ěr,xiāo
短匐茎,duǎn,fú,jīng
短歌行,duǎn,gē,xíng
短管乙,duǎn,guǎn,yǐ
短果枝,duǎn,guǒ,zhī
短颌鲚,duǎn,hé,jì
短弧焊,duǎn,hú,hàn
短豇豆,duǎn,jiāng,dòu
短桨蟹,duǎn,jiǎng,xiè
短炉身,duǎn,lú,shēn
短路帽,duǎn,lù,mào
短路器,duǎn,lù,qì
短芒草,duǎn,máng,cǎo
短木杖,duǎn,mù,zhàng
短攀鲈,duǎn,pān,lú
短平快,duǎn,píng,kuài
短旗鳉,duǎn,qí,jiāng
短旗袍,duǎn,qí,páo
短鳍鳝,duǎn,qí,shàn
短鳍鲉,duǎn,qí,yóu
短尾蝮,duǎn,wěi,fù
短尾鱥,duǎn,wěi,guì
短尾魟,duǎn,wěi,gōng
短尾猴,duǎn,wěi,hóu
短尾鹱,duǎn,wěi,hù
短尾鮠,duǎn,wěi,wéi
短尾鳐,duǎn,wěi,yáo
短纤维,duǎn,xiān,wéi
短星菊,duǎn,xīng,jú
短须鳎,duǎn,xū,tǎ
短训班,duǎn,xùn,bān
短趾雕,duǎn,zhǐ,diāo
短壮芽,duǎn,zhuàng,yá
段泊岚,duàn,bó,lán
段成桂,duàn,chéng,guì
段店村,duàn,diàn,cūn
段辉国,duàn,huī,guó
段些村,duàn,xiē,cūn
段奕宏,duàn,yì,hóng
断层带,duàn,céng,dài
断层谷,duàn,céng,gǔ
断层湖,duàn,céng,hú
断层山,duàn,céng,shān
断层崖,duàn,céng,yá
断代史,duàn,dài,shǐ
断电率,duàn,diàn,lǜ
断电仪,duàn,diàn,yí
断弓山,duàn,gōng,shān
断块山,duàn,kuài,shān
断了后,duàn,le,hòu
断肋者,duàn,lèi,zhě
断路器,duàn,lù,qì
断码鞋,duàn,mǎ,xié
断面图,duàn,miàn,tú
断头台,duàn,tóu,tái
断续河,duàn,xù,hé
断续器,duàn,xù,qì
断续窑,duàn,xù,yáo
缎翻车,duàn,fān,chē
椴树根,duàn,shù,gēn
椴树科,duàn,shù,kē
椴树属,duàn,shù,shǔ
煅蛤粉,duàn,gé,fěn
煅龙牡,duàn,lóng,mǔ
煅牡蛎,duàn,mǔ,lì
煅赭石,duàn,zhě,shí
锻工炉,duàn,gōng,lú
锻工錾,duàn,gōng,zàn
锻工凿,duàn,gōng,záo
锻焊管,duàn,hàn,guǎn
锻湖村,duàn,hú,cūn
锻炉煤,duàn,lú,méi
锻造件,duàn,zào,jiàn
锻造力,duàn,zào,lì
锻造炉,duàn,zào,lú
锻造铝,duàn,zào,lǚ
锻轧机,duàn,zhá,jī
锻铸件,duàn,zhù,jiàn
堆草机,duī,cǎo,jī
堆堆领,duī,duī,lǐng
堆垛机,duī,duò,jī
堆放架,duī,fàng,jià
堆焊层,duī,hàn,céng
堆积物,duī,jī,wù
堆矿机,duī,kuàng,jī
堆取样,duī,qǔ,yàng
堆石坝,duī,shí,bà
堆土机,duī,tǔ,jī
堆莴苣,duī,wō,jù
对比度,duì,bǐ,dù
对比色,duì,bǐ,sè
对不起,duì,bù,qǐ
对不住,duì,bú,zhù
对称部,duì,chèn,bù
对称的,duì,chèn,de
对称顶,duì,chèn,dǐng
对称核,duì,chèn,hé
对称积,duì,chèn,jī
对称级,duì,chèn,jí
对称类,duì,chèn,lèi
对称图,duì,chèn,tú
对称型,duì,chèn,xíng
对称性,duì,chèn,xìng
对称序,duì,chèn,xù
对称轴,duì,chèn,zhóu
对得起,duì,de,qǐ
对得住,duì,de,zhù
对等的,duì,děng,de
对电极,duì,diàn,jí
对二氮,duì,èr,dàn
对翻身,duì,fān,shēn
对焊机,duì,hàn,jī
对湖路,duì,hú,lù
对话框,duì,huà,kuàng
对讲机,duì,jiǎng,jī
对角线,duì,jiǎo,xiàn
对接板,duì,jiē,bǎn
对接焊,duì,jiē,hàn
对景图,duì,jǐng,tú
对抗赛,duì,kàng,sài
对立面,duì,lì,miàn
对零顶,duì,líng,dǐng
对流层,duì,líu,céng
对门山,duì,mén,shān
对旗山,duì,qí,shān
对企业,duì,qǐ,yè
对青山,duì,qīng,shān
对石村,duì,shí,cūn
对世权,duì,shì,quán
对输物,duì,shū,wù
对台戏,duì,tái,xì
对外资,duì,wài,zī
对位酸,duì,wèi,suān
对味儿,duì,wèi,ér
对胃口,duì,wèi,kǒu
对溪村,duì,xī,cūn
对虾类,duì,xiā,lèi
对象图,duì,xiàng,tú
对型板,duì,xíng,bǎn
对叶草,duì,yè,cǎo
对叶豆,duì,yè,dòu
对叶兰,duì,yè,lán
对映集,duì,yìng,jí
对账单,duì,zhàng,dān
对着干,duì,zhe,gàn
对撞机,duì,zhuàng,jī
对座草,duì,zuò,cǎo
兑付期,duì,fù,qī
兑换券,duì,huàn,quàn
吨电耗,dūn,diàn,hào
吨吊车,dūn,diào,chē
吨工时,dūn,gōng,shí
吨公里,dūn,gōng,lǐ
吨煤耗,dūn,méi,hào
敦仁楼,dūn,rén,lóu
敦仁巷,dūn,rén,xiàng
敦盛草,dūn,shèng,cǎo
墩坂村,dūn,bǎn,cūn
墩兜村,dūn,dōu,cūn
墩南村,dūn,nán,cūn
炖菜核,dùn,cài,hé
炖鸡汁,dùn,jī,zhī
炖龙虾,dùn,lóng,xiā
钝剥离,dùn,bō,lí
钝锯鳐,dùn,jù,yáo
钝叶草,dùn,yè,cǎo
盾果草,dùn,guǒ,cǎo
盾牌座,dùn,pái,zuò
盾叶莓,dùn,yè,méi
盾状的,dùn,zhuàng,de
多斑鳐,duō,bān,yáo
多贝斯,duō,bèi,sī
多倍体,duō,bèi,tǐ
多倍仪,duō,bèi,yí
多边形,duō,biān,xíng
多层炉,duō,céng,lú
多程焊,duō,chéng,hàn
多程序,duō,chéng,xù
多弹头,duō,dàn,tóu
多党制,duō,dǎng,zhì
多电极,duō,diàn,jí
多多乐,duō,duō,lè
多发病,duō,fā,bìng
多范围,duō,fàn,wéi
多方面,duō,fāng,miàn
多方位,duō,fāng,wèi
多酚层,duō,fēn,céng
多丰农,duō,fēng,nóng
多佛尔,duō,fó,ěr
多氟多,duō,fú,duō
多辐鳠,duō,fú,hù
多工位,duō,gōng,wèi
多故障,duō,gù,zhàng
多果腺,duō,guǒ,xiàn
多铧犁,duō,huá,lí
多滑移,duō,huá,yí
多会儿,duō,huì,er
多极的,duō,jí,de
多棘鳂,duō,jí,wēi
多尖牙,duō,jiān,yá
多件套,duō,jiàn,tào
多角形,duō,jiǎo,xíng
多茎目,duō,jīng,mù
多晶硅,duō,jīng,guī
多晶膜,duō,jīng,mó
多晶态,duō,jīng,tài
多晶体,duō,jīng,tǐ
多晶铜,duō,jīng,tóng
多睛鳐,duō,jīng,yáo
多聚酶,duō,jù,méi
多聚糖,duō,jù,táng
多聚物,duō,jù,wù
多聚形,duō,jù,xíng
多科目,duō,kē,mù
多孔板,duō,kǒng,bǎn
多孔底,duō,kǒng,dǐ
多孔粉,duō,kǒng,fěn
多孔管,duō,kǒng,guǎn
多孔篮,duō,kǒng,lán
多孔膜,duō,kǒng,mó
多孔物,duō,kǒng,wù
多棱镜,duō,léng,jìng
多力玛,duō,lì,mǎ
多伦多,duō,lún,duō
多面角,duō,miàn,jiǎo
多面手,duō,miàn,shǒu
多面体,duō,miàn,tǐ
多幕剧,duō,mù,jù
多瑙河,duō,nǎo,hé
多尼亚,duō,ní,yà
多年生,duō,nián,shēng
多耙鮻,duō,bà,suō
多任务,duō,rèn,wu
多神教,duō,shén,jiào
多室窑,duō,shì,yáo
多熟制,duō,shú,zhì
多丝鲚,duō,sī,jì
多丝室,duō,sī,shì
多胎产,duō,tāi,chǎn
多态型,duō,tài,xíng
多膛炉,duō,táng,lú
多膛窑,duō,táng,yáo
多糖基,duō,táng,jī
多糖类,duō,táng,lèi
多糖酶,duō,táng,méi
多维钙,duō,wéi,gài
多维龛,duō,wéi,kān
多味果,duō,wèi,guǒ
多烯类,duō,xī,lèi
多烯酸,duō,xī,suān
多喜欣,duō,xǐ,xīn
多项式,duō,xiàng,shì
多效唑,duō,xiào,zuò
多楔带,duō,xiē,dài
多协议,duō,xié,yì
多形层,duō,xíng,céng
多形核,duō,xíng,hé
多形物,duō,xíng,wù
多芽期,duō,yá,qī
多叶草,duō,yè,cǎo
多叶的,duō,yè,de
多叶蓼,duō,yè,liǎo
多叶紫,duō,yè,zǐ
多页到,duō,yè,dào
多一半,duō,yī,bàn
多伊奇,duō,yī,qí
多义词,duō,yì,cí
多音字,duō,yīn,zì
多由也,duō,yóu,yě
多元论,duō,yuán,lùn
多栅管,duō,shān,guǎn
多汁果,duō,zhī,guǒ
多脂腈,duō,zhī,jīng
多值的,duō,zhí,de
多重板,duō,chóng,bǎn
多重根,duō,chóng,gēn
多重弧,duō,chóng,hú
多重集,duō,zhòng,jí
多重态,duō,chóng,tài
多重图,duō,chóng,tú
多重性,duō,chóng,xìng
多柱塔,duō,zhù,tǎ
咄渣门,duō,zhā,mén
掇刀区,duō,dāo,qū
夺丰收,duó,fēng,shōu
夺魂者,duó,hún,zhě
朵戈庄,duǒ,gē,zhuāng
剁斧石,duò,fǔ,shí
堕星村,duò,xīng,cūn
堕星湖,duò,xīng,hú
俄多马,é,duō,mǎ
峨眉山,é,méi,shān
峨眉鳚,é,méi,wèi
峨眉县,é,méi,xiàn
峨眉嶂,é,méi,zhàng
峨眉洲,é,méi,zhōu
峨山路,é,shān,lù
峨山县,é,shān,xiàn
锇酸酐,é,suān,gān
锇铱矿,é,yī,kuàng
鹅蛋脸,é,dàn,liǎn
鹅蛋型,é,dàn,xíng
鹅顶颈,é,dǐng,jǐng
鹅鹅鹅,é,é,é
鹅耳枥,é,ěr,lì
鹅凤营,é,fèng,yíng
鹅肝酱,é,gān,jiàng
鹅管石,é,guǎn,shí
鹅喉管,é,hóu,guǎn
鹅湖区,é,hú,qū
鹅肌肽,é,jī,tài
鹅颈刀,é,jǐng,dāo
鹅颈灯,é,jǐng,dēng
鹅颈管,é,jǐng,guǎn
鹅口疮,é,kǒu,chuāng
鹅卵石,é,luǎn,shí
鹅毛扇,é,máo,shàn
鹅掌草,é,zhǎng,cǎo
鹅掌风,é,zhǎng,fēng
鹅掌坦,é,zhǎng,tǎn
鹅掌藤,é,zhǎng,téng
额垫板,é,diàn,bǎn
额定力,é,dìng,lì
额定值,é,dìng,zhí
额山鳉,é,shān,jiāng
额外根,é,wài,gēn
额外肾,é,wài,shèn
额外牙,é,wài,yá
噁草酮,ě,cǎo,tóng
恶狠狠,è,hěn,hěn
恶势力,è,shì,lì
恶作剧,è,zuò,jù
鄂城区,è,chéng,qū
鄂城县,è,chéng,xiàn
鄂州街,è,zhōu,jiē
鄂州市,è,zhōu,shì
颚基部,è,jī,bù
颚吸管,è,xī,guǎn
颚形突,è,xíng,tū
颚舟叶,è,zhōu,yè
鳄梨属,è,lí,shǔ
恩尔欣,ēn,ěr,xīn
恩复德,ēn,fù,dé
恩格斯,ēn,gé,sī
恩霍尔,ēn,huò,ěr
恩施州,ēn,shī,zhōu
恩斯克,ēn,sī,kè
蒽二酚,ēn,èr,fēn
蒽二腈,ēn,èr,jīng
蒽三酚,ēn,sān,fēn
摁钉儿,èn,dīng,ér
摁扣儿,èn,kòu,ér
儿感清,ér,gǎn,qīng
儿皇帝,ér,huáng,dì
儿咳停,ér,ké,tíng
儿童杯,ér,tóng,bēi
儿童被,ér,tóng,bèi
儿童部,ér,tóng,bù
儿童草,ér,tóng,cǎo
儿童村,ér,tóng,cūn
儿童灯,ér,tóng,dēng
儿童凳,ér,tóng,dèng
儿童钙,ér,tóng,gài
儿童节,ér,tóng,jié
儿童咳,ér,tóng,ké
儿童帽,ér,tóng,mào
儿童伞,ér,tóng,sǎn
儿童锁,ér,tóng,suǒ
儿童团,ér,tóng,tuán
儿童袜,ér,tóng,wà
儿童型,ér,tóng,xíng
儿童桌,ér,tóng,zhuō
儿媳妇,ér,xí,fù
儿泻停,ér,xiè,tíng
儿泻止,ér,xiè,zhǐ
尔复迈,ěr,fù,mài
尔禄村,ěr,lù,cūn
尔谁造,ěr,shuí,zào
耳报神,ěr,bào,shén
耳边风,ěr,biān,fēng
耳草属,ěr,cǎo,shǔ
耳朵软,ěr,duǒ,ruǎn
耳刮子,ěr,guā,zǐ
耳环架,ěr,huán,jià
耳机盒,ěr,jī,hé
耳机架,ěr,jī,jià
耳机套,ěr,jī,tào
耳旁风,ěr,páng,fēng
耳挖草,ěr,wā,cǎo
耳挖子,ěr,wā,zǐ
耳蜗管,ěr,wō,guǎn
耳下腺,ěr,xià,xiàn
耳咽管,ěr,yān,guǎn
耳叶蝉,ěr,yè,chán
耳叶蓼,ěr,yè,liǎo
耳液溢,ěr,yè,yì
耳状突,ěr,zhuàng,tū
耳坠子,ěr,zhuì,zǐ
二把刀,èr,bǎ,dāo
二把手,èr,bǎ,shǒu
二白谷,èr,bái,gǔ
二白杨,èr,bái,yáng
二百二,èr,bǎi,èr
二百亩,èr,bǎi,mǔ
二百五,èr,bǎi,wǔ
二倍期,èr,bèi,qī
二倍器,èr,bèi,qì
二丙砜,èr,bǐng,fēng
二丙基,èr,bǐng,jī
二丙酮,èr,bǐng,tóng
二波脉,èr,bō,mài
二部图,èr,bù,tú
二部制,èr,bù,zhì
二层柱,èr,céng,zhù
二陈汤,èr,chén,tāng
二传手,èr,chuán,shǒu
二代酸,èr,dài,suān
二氮萘,èr,dàn,nài
二氮芴,èr,dàn,wù
二等舱,èr,děng,cāng
二底图,èr,dǐ,tú
二地主,èr,dì,zhǔ
二都村,èr,dōu,cūn
二二板,èr,èr,bǎn
二房东,èr,fáng,dōng
二酚类,èr,fēn,lèi
二酚酶,èr,fēn,méi
二府街,èr,fǔ,jiē
二府庄,èr,fǔ,zhuāng
二腹肌,èr,fù,jī
二铬酸,èr,gè,suān
二工区,èr,gōng,qū
二工位,èr,gōng,wèi
二贡纸,èr,gòng,zhǐ
二锅头,èr,guō,tóu
二花脸,èr,huā,liǎn
二化螟,èr,huà,míng
二环路,èr,huán,lù
二灰土,èr,huī,tǔ
二级站,èr,jí,zhàn
二极管,èr,jí,guǎn
二极型,èr,jí,xíng
二甲苯,èr,jiǎ,běn
二尖瓣,èr,jiān,bàn
二件套,èr,jiàn,tào
二街村,èr,jiē,cūn
二进宫,èr,jìn,gōng
二进制,èr,jìn,zhì
二聚酶,èr,jù,méi
二聚酸,èr,jù,suān
二聚物,èr,jù,wù
二郎腿,èr,láng,tuǐ
二老板,èr,lǎo,bǎn
二老庄,èr,lǎo,zhuāng
二愣子,èr,lèng,zǐ
二列芥,èr,liè,jiè
二龙路,èr,lóng,lù
二氯酚,èr,lǜ,fēn
二氯萘,èr,lǜ,nài
二马路,èr,mǎ,lù
二脉的,èr,mài,de
二面角,èr,miàn,jiǎo
二拇指,èr,mǔ,zhǐ
二年生,èr,nián,shēng
二七区,èr,qī,qū
二七三,èr,qī,sān
二羟基,èr,qiǎng,jī
二羟芪,èr,qiǎng,qí
二羟维,èr,qiǎng,wéi
二轻局,èr,qīng,jú
二人台,èr,rén,tái
二人转,èr,rén,zhuàn
二壬基,èr,rén,jī
二三极,èr,sān,jí
二三月,èr,sān,yuè
二十碳,èr,shí,tàn
二十烯,èr,shí,xī
二视图,èr,shì,tú
二手货,èr,shǒu,huò
二熟制,èr,shú,zhì
二四板,èr,sì,bǎn
二四墙,èr,sì,qiáng
二羧酸,èr,suō,suān
二态型,èr,tài,xíng
二肽酶,èr,tài,méi
二碳基,èr,tàn,jī
二糖酶,èr,táng,méi
二糖蔗,èr,táng,zhè
二踢脚,èr,tī,jiǎo
二烃基,èr,tīng,jī
二酮酶,èr,tóng,méi
二旺尧,èr,wàng,yáo
二旺营,èr,wàng,yíng
二维的,èr,wéi,de
二位的,èr,wèi,de
二五眼,èr,wǔ,yǎn
二烯酸,èr,xī,suān
二烯酮,èr,xī,tóng
二仙汤,èr,xiān,tāng
二项式,èr,xiàng,shì
二硝基,èr,xiāo,jī
二硝酯,èr,xiāo,zhǐ
二校门,èr,xiào,mén
二辛基,èr,xīn,jī
二叶律,èr,yè,lǜ
二叶卓,èr,yè,zhuó
二乙砜,èr,yǐ,fēng
二乙基,èr,yǐ,jī
二乙肼,èr,yǐ,jǐng
二乙酸,èr,yǐ,suān
二乙酮,èr,yǐ,tóng
二乙酯,èr,yǐ,zhǐ
二元论,èr,yuán,lùn
二月荻,èr,yuè,dí
二站村,èr,zhàn,cūn
二张营,èr,zhāng,yíng
二掌柜,èr,zhǎng,guì
二酯键,èr,zhǐ,jiàn
二酯类,èr,zhǐ,lèi
二酯酶,èr,zhǐ,méi
二重唱,èr,chóng,chàng
二重根,èr,chóng,gēn
二重积,èr,chóng,jī
